"Table 27 -- World coarse grain trade: Selected exporters and importers by commodity (1,000 metric tons)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Export/import and country/region 1/,,1960/61,1961/62,1962/63,1963/64,1964/65,1965/66,1966/67,1967/68,1968/69,1969/70,1970/71,1971/72,1972/73,1973/74,1974/75,1975/76,1976/77,1977/78,1978/79,1979/80,1980/81,1981/82,1982/83,1983/84,1984/85,1985/86,1986/87,1987/88,1988/89,1989/90,1990/91,1991/92,1992/93,1993/94,1994/95,1995/96,1996/97,1997/98,1998/99,1999/00,2000/01,2001/02,2002/03,2003/04,2004/05,2005/06,2006/07,2007/08,2008/09,2009/10,2010/11,2011/12,2012/13,2013/14,2014/15,2015/16,2016/17,2017/18,2018/19
Corn exporters,United States,"6,326","9,922","10,195","11,558","13,080","16,988","12,547","14,515","12,980","15,872","13,078","16,719","28,892","34,853","28,384","39,590","42,774","49,479","54,180","61,801","59,420","49,640","47,160","46,932","46,427","31,147","39,330","43,978","50,512","60,034","44,575","40,686","42,572","33,106","58,689","52,753","46,711","37,789","52,030","49,493","48,329","47,271","40,924","48,809","45,347","56,084","54,214","60,663","47,758","49,696","45,162","38,342","18,262","50,691","46,831","51,098","55,593","63,636","60,000"
,Haiti,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
,Honduras,0,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,10,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,8,46,8,20,20,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,India,53,0,0,25,54,"1,040","2,130","1,239",55,275,7,10,460,"1,049",446,721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Iran,,,,,,,,,,,,,,,,77,180,200,300,200,200,200,56,0,5,0,31,35,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Lesotho,0,1,0,2,8,7,7,7,7,9,15,10,10,15,10,10,8,6,3,1,12,10,25,10,0,0,0,0,0,0,0,0,0,0,8,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Mali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Mauritania,,,,,,,,,,,,,,,,,,,,,,,,,10,,10,16,0,0,0,1,1,14,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Morocco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,10,0,0,29,24,0,0,0,0,0,1,52,1,0,112,0,0,0,1,0,0,39,0,9,4,144,99,0,0,38,0,0,0,0,0
,Nicaragua,0,0,0,0,2,0,1,3,0,0,6,4,5,5,2,1,2,15,15,0,0,0,9,0,0,0,13,0,1,0,0,0,0,0,0,6,4,0,5,5,5,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
,Nigeria,30,30,30,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,13,85,0,0,86,32,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
,Norway,59,55,98,5,34,81,124,180,53,0,,,94,88,112,170,241,120,170,233,199,201,150,0,0,,,,28,78,,,,,24,,44,44,22,63,49,27,34,24,0,0,0,142,0,17,0,0,0,0,0,0,0,0,0
,Paraguay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
,Senegal,18,9,18,11,11,14,41,7,7,21,20,45,35,55,5,25,42,42,45,45,45,50,52,155,65,10,0,0,6,5,13,4,12,5,5,0,0,0,0,0,0,0,0,0,9,0,0,17,0,0,0,16,6,0,0,0,0,0,0
,Sierra Leone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Tanzania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,5,5,0,5,10,0,0,0,1,0,0
,Thailand,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,37,5,6,2,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Togo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
,Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,1,0,0,0,0,0,0
,United States,0,0,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,4,3,0,0,0,0,6,2,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,2,1,3,0,1,3,243,3,27,98,44,51,0
,Venezuela,,,,,0,1,0,1,1,75,310,199,413,468,425,464,514,540,518,201,501,915,370,210,853,750,808,"1,731","1,036",7,0,0,13,0,0,33,4,0,0,2,0,0,0,1,1,0,0,0,4,1,0,0,0,1,0,0,2,0,0
,Yemen United,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,5,5,5,0,5,5,0,1,2,0,0,0
,Zambia,,6,6,6,7,12,11,6,4,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,4,3,35,10,1,0,0,0,0,0,0,0,0,0,0,0
,World,427,697,197,42,42,908,132,-639,517,-8,238,-275,781,"1,171",243,849,579,-35,41,-709,-77,345,-108,-185,600,-6,283,86,223,120,57,192,286,75,158,263,224,21,-213,-145,56,201,231,-151,117,150,93,-162,485,14,-58,355,436,"1,031",498,"-1,070",328,-348,38
,Total 3/,"2,702","3,193","3,769","3,598","4,073","7,276","8,910","5,596","4,790","5,081","7,391","5,545","7,120","10,301","8,821","10,015","12,292","10,699","10,647","11,436","13,869","13,431","11,433","12,896","13,020","8,569","8,196","8,290","11,061","8,771","7,561","9,655","9,074","6,819","6,440","6,546","6,249","6,887","6,541","8,132","7,627","7,256","5,878","6,206","5,366","5,496","5,790","8,882","6,224","6,328","6,635","5,448","7,296","7,747","12,588","9,891","7,686","6,489","3,892"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barley exporters,EU-28,"1,584","2,820","1,947","3,046","3,222","3,537","3,768","4,323","4,762","5,325","3,926","6,106","5,507","2,407","1,544","2,590","1,004","3,180","3,118","2,569","5,479","3,438","6,864","3,725","8,100","7,937","6,648","6,417","8,583","8,296","8,146","10,159","6,245","6,968","5,589","3,000","6,550","3,278","9,423","10,075","6,024","3,627","6,077",942,"4,189","2,493","4,325","3,840","2,355","2,368","4,581","3,646","6,501","4,926","10,642","8,644","5,683","5,857","5,300"
,"Russian Federation, Begins 2/1992",,,,,,,,,,,,,,,,,,,,,,,,,,,,115,195,105,70,105,100,185,"1,529",587,297,"1,321",92,393,"1,031","2,664","3,066","1,736","1,488","1,397","1,691","1,277","3,598","2,086",969,"3,667","2,366","2,791","5,807","3,735","3,626","5,661","4,700"
,Australia (No Islands),769,713,234,403,369,227,425,129,451,641,"1,123","1,844",804,849,"2,031","1,963","1,911","1,236","2,007","2,900","1,540","2,071",600,"3,574","4,665","3,675","2,232","1,639","1,364","2,447","2,683","1,951","2,600","4,232","1,356","3,375","3,967","2,838","4,241","2,870","3,924","4,590","2,159","6,104","4,481","5,231","1,927","3,377","3,278","3,846","4,088","5,819","4,622","6,261","5,266","5,401","9,192","6,088","4,500"
,Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,655","1,345","1,090",350,275,180,275,412,871,322,539,972,787,"1,479","3,134","2,334","2,557","3,992","4,926","2,911","3,814","5,871","5,752","2,446","2,167","2,659","3,827","4,332","4,673","5,337","3,188","4,200"
,Argentina,131,201,49,301,446,145,51,124,205,33,112,97,109,147,30,29,70,21,60,41,8,5,38,20,33,5,10,33,107,45,52,100,133,123,22,11,244,139,132,50,202,91,101,167,338,309,537,937,871,549,"1,531","3,631","3,647","2,829","1,599","2,836","2,696","2,103","3,100"
,Canada,838,898,228,867,723,706,992,"1,059",411,"1,179","3,823","4,174","3,864","2,639","2,668","4,161","3,782","3,557","3,898","2,963","4,012","5,543","6,071","4,240","2,439","4,790","6,024","3,424","3,433","3,806","4,460","3,379","2,859","3,789","2,551","2,596","3,442","1,897","1,185","1,806","2,014","1,146",329,"1,951","1,535","1,876","1,337","2,947","1,618","1,203","1,052","1,437","1,316","1,714","1,386","1,147","1,809","1,868","2,200"
,Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,550","1,500",835,"2,000",150,"1,900",550,768,890,732,276,475,772,292,393,542,613,76,239,606,806,314,354,224,659,151,500,475,776,821,"1,411","2,000"
,Turkey,1,73,58,36,0,0,0,0,0,0,0,41,10,0,0,103,279,37,15,17,95,293,688,300,183,8,0,260,189,8,200,"1,067",523,712,812,136,380,"1,395",740,181,151,501,504,0,26,546,345,0,3,801,1,103,0,9,4,0,14,11,100
,United States,"1,817","1,784","1,450","1,558","1,507","1,618",936,644,250,296,"1,796","1,015","1,321","1,906",851,495,"1,840",861,344,"1,211","1,813","1,962",937,"2,052","1,188",755,"2,938","2,810","1,718","1,798","1,507","2,088","1,610","1,603","1,356","1,185","1,215","1,076",551,853,"1,068",517,552,384,771,357,528,901,158,152,222,179,163,336,291,161,125,102,100
,Uruguay,1,8,3,1,0,4,2,1,2,3,8,10,0,10,0,13,20,28,48,72,75,90,39,50,130,100,100,75,0,0,33,3,76,25,11,78,147,1,20,17,15,0,3,12,0,41,112,26,0,0,0,0,107,36,43,42,111,5,100
,Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,4,11,22,9,14,26,18,37,33,33,57,80
,Moldova,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,3,0,0,0,0,0,8,26,8,25,10,35,10,30,45,10,3,17,26,81,59,143,150,75
,India,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,8,0,44,5,40,7,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,131,371,37,31,30,52,546,546,97,4,1,1,50
,Afghanistan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Albania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Algeria,79,40,62,195,110,18,48,5,0,77,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0
,Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Bangladesh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,50,40,40,40,30,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,3,0,0
,Bhutan,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Bolivia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Bosnia-Hercegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Brazil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,28,0,0,0,0,0,29,0,0,0,0,26,0,24,0,0,0,0
,Chile,,1,4,2,6,9,7,11,14,10,6,12,10,15,21,32,31,25,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,3,3,1,0,1,2,0,0
,China (Mainland),17,3,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,0,6,1,1,0,4,2,3,3,49,81,17,13,9,4,1,0,0,0,0,0,0
,Colombia,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Ecuador,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,4,5,4,0,0,0,0,9,10,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
,Egypt,1,1,2,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,67,7,14,14,0,0,5,0,0,0,0,0
,"Eritrea, Begins 7/1993",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,"Ethiopia, United Ends 6/1993 & New Begin",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,7,0,0,0,0,0,0
,Iran,1,1,0,0,2,1,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Iraq,8,279,134,17,49,40,69,18,76,78,1,0,250,0,0,0,0,0,0,0,0,0,0,0,0,0,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,455,150,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0
,Israel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,6,0,0,0,0,0,0,0,0,0
,Japan,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Jordan,0,4,0,0,5,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
,Kenya,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,6,4,2,1,3,3,8,10,0
,South Korea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Kuwait,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Kyrgyzstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Lebanon,2,2,5,3,13,10,3,0,0,11,7,0,28,5,0,0,0,10,28,43,16,3,3,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
,Libya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Macedonia (Skopje),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,1,0,2,0,0,0,0,0,0
,Mexico,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Morocco,27,0,105,94,27,4,0,0,100,192,59,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,154,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0
,Nepal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,"New Zealand, No Islands",0,0,0,0,0,0,0,3,2,0,0,23,0,0,50,0,53,50,12,85,52,23,66,274,386,317,163,86,30,43,42,70,0,61,0,8,0,49,0,0,0,0,0,0,0,0,1,22,0,0,1,0,0,0,0,0,0,0,0
,Norway,0,21,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Pakistan,0,0,0,0,0,0,0,0,0,0,0,0,18,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Peru,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Republic Of South Africa,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,18,7,28,31,41,0,0,0,0,7,68,0,9,0,0,0,0,0,0,51,43,65,22,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
,Saudi Arabia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Switzerland,0,49,34,66,3,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Syria,0,25,229,400,181,202,2,66,182,342,0,0,42,0,0,15,70,26,0,0,100,255,465,0,0,0,10,0,346,14,0,0,100,229,745,561,551,0,0,0,0,0,446,320,50,0,50,0,0,0,0,0,0,0,0,0,0,0,0
,China (Taiwan),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Tajikistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
,Thailand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Tunisia,11,0,0,33,2,17,2,1,0,0,8,3,9,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,6,33,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Turkmenistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,United Arab Emirates,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,4,1,3,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Uzbekistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
,Vietnam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Yemen United,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Zimbabwe,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Total 3/,"5,978","7,632","5,003","7,562","7,524","8,557","6,725","6,988","7,103","8,935","11,547","13,882","12,086","8,655","7,745","9,435","11,168","10,072","10,580","10,161","13,508","14,463","15,981","15,846","17,409","17,675","18,304","18,290","19,017","18,531","19,591","19,441","16,407","18,761","15,298","13,359","17,921","12,831","17,837","17,805","16,262","17,166","16,306","14,806","16,978","17,435","14,597","18,543","18,180","17,261","15,197","21,397","22,162","23,826","30,090","27,556","29,604","26,512","26,505"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barley importers,Saudi Arabia,39,16,54,25,20,10,40,58,14,8,25,37,45,25,12,21,95,70,421,"1,020","1,775","3,325","2,270","5,100","4,700","6,625","8,957","4,899","4,714","4,162","4,367","6,590","3,431","4,308","4,235","3,876","5,887","4,026","6,100","5,900","5,100","6,200","7,650","5,700","6,500","7,100","6,200","8,000","7,700","7,200","6,200","8,600","10,200","8,500","8,200","10,400","8,400","7,700","8,500"
,China (Mainland),595,929,48,450,154,31,1,0,0,1,0,413,0,0,0,0,0,0,40,66,79,155,107,100,40,325,518,332,256,581,915,"1,009",647,"1,318","1,365","1,399","2,036","1,176","1,955","2,244","2,305","1,913","1,792","1,519","2,049","2,217","1,127","1,091","1,551","2,341","1,656","2,541","2,183","4,891","9,859","5,869","8,104","8,144","7,500"
,Iran,28,10,0,10,1,5,1,0,0,0,21,206,8,120,178,134,250,350,450,400,300,325,650,445,600,445,70,202,466,609,387,0,174,388,356,190,772,403,376,950,822,322,0,661,"1,300",700,300,"1,000","1,400",800,500,"1,700","1,100","1,100","1,900","1,700","2,200","2,700","3,000"
,Japan,0,0,0,495,536,531,558,581,639,703,858,913,"1,245","1,308","1,546","1,649","1,733","1,773","1,460","1,365","1,506","1,470","1,280","1,604","1,666","1,500","1,185","1,317","1,335","1,325","1,508","1,531","1,663","1,741","1,476","1,307","1,431","1,435","1,660","1,608","1,498","1,358","1,399","1,359","1,522","1,417","1,359","1,361","1,346","1,411","1,359","1,257","1,356","1,294","1,097","1,154","1,197","1,253","1,100"
,Brazil,21,36,29,39,30,30,23,26,39,43,40,32,30,30,22,17,15,32,41,93,80,155,135,120,100,223,203,153,166,95,147,205,127,163,163,331,143,107,115,112,185,121,309,128,182,164,267,285,403,346,362,274,369,337,489,551,737,584,650
,Tunisia,47,80,18,16,25,21,48,47,40,43,7,11,5,0,32,0,25,55,92,64,128,44,5,14,23,68,69,289,352,124,5,2,5,408,502,231,229,171,223,239,599,656,312,99,514,606,866,378,229,336,281,218,762,456,483,696,501,674,650
,Jordan,12,11,35,19,0,10,22,4,20,16,16,10,1,5,2,15,20,68,23,44,21,40,40,136,100,37,86,31,202,199,144,295,339,421,425,581,615,296,454,712,349,499,414,400,607,811,804,528,514,432,544,736,831,997,759,902,759,788,600
,United Arab Emirates,,,,,,,,,,,,,,,3,6,32,7,13,10,30,15,60,120,65,60,102,124,154,82,138,133,140,93,127,122,169,116,140,288,179,206,191,163,148,326,294,252,131,299,334,524,541,468,393,668,501,263,500
,EU-28,"4,114","5,244","4,010","5,229","4,989","7,088","4,911","4,833","5,136","6,297","7,865","8,119","6,563","3,069","2,741","3,292","5,160","3,146","4,029","2,612","2,477","2,467","2,491","2,591","1,669","3,245","1,659","2,472","2,255","1,534","1,797",833,"2,100","1,918","1,506","1,614","1,747",826,969,216,478,"1,329","1,050",658,212,168,165,521,156,66,288,364,53,58,269,315,447,231,400
,Libya,45,3,0,5,0,17,19,53,48,74,151,121,143,74,28,58,5,125,125,120,135,135,375,155,365,710,479,649,451,740,725,239,653,686,255,46,653,291,248,200,144,261,188,341,276,248,58,166,296,582,179,183,573,681,"1,001","1,324","1,084",438,300
,Turkey,0,0,0,0,11,0,0,0,0,0,0,0,0,83,24,4,0,0,0,18,0,0,0,606,225,0,0,130,132,339,71,21,96,150,76,59,17,147,140,69,34,29,85,171,69,52,57,246,159,156,39,46,266,596,332,146,291,598,300
,Colombia,0,0,0,0,2,22,36,29,46,62,69,12,30,62,26,21,116,80,81,60,66,120,128,101,110,115,111,59,61,44,121,177,156,251,145,264,199,208,97,100,129,182,226,181,234,198,243,256,211,237,251,301,232,253,249,301,258,136,280
,Algeria,11,138,11,0,9,1,65,45,0,0,0,30,88,104,95,43,136,400,339,295,120,550,355,550,535,0,38,790,535,292,71,72,352,622,270,1,192,383,759,652,334,512,46,22,126,73,116,266,164,6,262,501,364,778,723,864,533,439,250
